Type,Trans Date,Post Date,Description,Amount,Kind
Sale,2017-01-15,2017-01-16,MOTHERHOOD OUT00006585,-56.93,Clothing
Sale,2017-01-15,2017-01-17,PAYPAL *UDEMY,-30.0,Study
Sale,2017-01-15,2017-01-16,MOTHERHOOD OUT00006585,-5.41,Clothing
Sale,2017-01-15,2017-01-16,EDDIE BAUER 164,-78.1,Clothing
Sale,2017-01-15,2017-01-16,Milpitas,-49.9,Foods
Sale,2017-01-15,2017-01-16,GREAT MALL MAYFLOWER REST,-36.0,Foods
Sale,2017-01-14,2017-01-15,SQ *TEAVEN,-4.15,Foods
Sale,2017-01-14,2017-01-15,NIJIYA MARKET #62,-25.34,Groceries
Sale,2017-01-14,2017-01-15,WOORI FOOD MARKET,-3.97,Groceries
Sale,2017-01-14,2017-01-15,99 RANCH #1769,-5.28,Groceries
Sale,2017-01-14,2017-01-15,99 RANCH #1769,-45.24,Groceries
Sale,2017-01-14,2017-01-16,BIG MOUTH BURGERS-MIL,-11.17,Foods
Sale,2017-01-14,2017-01-15,Amazon Digital Svcs,-9.99,Goods
Sale,2017-01-13,2017-01-15,COSTCO.COM  *ONLINE,-11.14,Groceries
Sale,2017-01-13,2017-01-15,STARBUCKS STORE 05336,-2.45,Coffee
Sale,2017-01-12,2017-01-12,COSTCO.COM  *ONLINE,-47.77,Groceries
Sale,2017-01-12,2017-01-13,Amazon.com,-58.35,Goods
Sale,2017-01-11,2017-01-12,A&amp;A GAS,-26.68,Auto
Sale,2017-01-08,2017-01-09,AMAZON MKTPLACE PMTS,-14.08,Goods
Sale,2017-01-07,2017-01-09,KUKJE SUPER MARKET,-48.82,Groceries
Sale,2017-01-07,2017-01-08,TARGET.COM  *,-19.65,Groceries
Sale,2017-01-07,2017-01-08,WALGREENS #6655,-26.08,Groceries
Sale,2017-01-07,2017-01-08,99 RANCH #1769,-34.23,Groceries
Sale,2017-01-06,2017-01-08,CITY OF SAN FRANCISCO POR,-4.0,Coffee
Sale,2017-01-06,2017-01-06,TARGET.COM  *,-21.2,Groceries
Sale,2017-01-06,2017-01-08,TARGET        00014076,-5.43,Groceries
Sale,2017-01-06,2017-01-08,SQ *COOL TEA BAR  WAVERLY,-8.18,Foods
Sale,2017-01-06,2017-01-10,ABM PARKING 1670 OWEN ST,-4.0,Auto
Sale,2017-01-06,2017-01-08,KAISER 02090311,-10.0,Medical
Sale,2017-01-05,2017-01-08,STARBUCKS STORE 06871,-2.45,Coffee
Sale,2017-01-05,2017-01-06,AMAZON MKTPLACE PMTS,-6.36,Goods
Sale,2017-01-03,2017-01-05,KUKJE SUPER MARKET,-10.12,Groceries
Sale,2017-01-03,2017-01-04,AMAZON MKTPLACE PMTS,-39.9,Goods
Payment,2017-01-03,2017-01-03,Payment Thank You - Web,3750.0,Payment
Sale,2017-01-03,2017-01-05,KUKJE SUPER MARKET,-12.69,Groceries
Sale,2017-01-02,2017-01-03,SORABOL SF CENTER,-10.82,Foods
Sale,2017-01-02,2017-01-03,OLD NAVY US 5934,-22.74,Clothing
Sale,2017-01-02,2017-01-03,NIJIYA MARKET #62,-30.94,Groceries
Sale,2017-01-02,2017-01-04,WALGREENS #6655,-22.8,Groceries
Sale,2017-01-02,2017-01-04,STARBUCKS STORE 06677,-2.45,Coffee
Sale,2017-01-02,2017-01-02,AMAZON MKTPLACE PMTS,-16.99,Goods
Sale,2017-01-02,2017-01-03,PAYPAL *UDEMY,-90.0,Study
Sale,2017-01-01,2017-01-02,ALIEXPRESS,-24.99,Goods
Sale,2016-12-31,2017-01-02,PAYPAL *PURITANSPRI,-13.99,Goods
Sale,2016-12-31,2017-01-02,PAYPAL *WALMART COM,-8.98,Goods
Sale,2016-12-31,2017-01-01,PAYPAL *DIGIZONE,-2.17,Goods
Sale,2016-12-31,2017-01-01,SQ *COOL TEA BAR  WAVERLY,-8.72,Foods
